path_id,level_1,level_2,level_3,hierarchy_path,definition,include_when,exclude_when,required_subject_terms,required_focus_terms,alternative_standalone_cues,supporting_terms_from_old_ontology,prompt_logic_note
V3_096,Production,Feed and nutrition,Alternative feed ingredients,Production > Feed and nutrition > Alternative feed ingredients,Evaluation of alternative or replacement feed ingredients.,"Use for plant proteins, vegetable oils, insects, algae, microbial protein or by-products in diets.",Do not subdivide by specific ingredient; users can search within this subset.,"Alternative feed ingredients, Soy protein, insect meal, algal oil, single-cell protein",,,"soy, soya, alternative food, alternative diet, vegetable oil, plant based, plant-based, soybean, faba bean protein, vegetable protein, vegetable based, vegetable-based, black soldier fly, Hermetia illucens, cricket, Gryllodes sigillatus, superworm, Zophobas morio, insect feed, fermented soybean meal, soybean meal, poultry by-product meal, hydrolysed feather meal, alternative protein, replacement feed, replacement protein, replacement meal, fermented canola protein, canola protein, testes meal, poultry protein, blood meal, yeast extract, beef tallow, algae-based, algae based, sunflower oil, solid-state fermentation, solid state fermentation, plant protein, lupin meal, lupin protein, lupin feed, fishmeal-free, fishmeal free, synthetic amino acids, silkworm pupae, silkworm moth, rapeseed oil, oil seed rape, oilseed, peanut meal, mealworm, Tenebrio molitor, poultry meal, corn gluten, flax, pea protein, canola, Ascophyllum nodosum, seaweed, sea weed, alginate, by-product meal, by-catch meal, processing waste meal, Camelina sativa, lipid replac, camelina meal, silage-based, silage based, feather meal, animal by-product, animal byproduct, animal by product, poultry oil, by-product silage, by product silage, byproduct silage, herring meal, carp meal, krill, yeast, spent grain, grain protein, grain in feed, Eisenia fetida, earthworm, earth worm, kelp, macroalgae, Saccharina latissima, casein, gluten, maize, corn, algal oil, Schizochytrium, cottonseed, marine by-product, microalga, barley, red beet, beetroot, beet root, Alphitobius diaperinus, Lupinus mutabilis, microalgae, Scenedesmus, linseed oil, chicken fat, pork lard, salmon oil, microbial oil, menhaden oil, herring oil, camelina oil, palm oil, wheat bran, corn flour, Farmacia worm, Trujillo worm, Cumana, leucaena leaf, low fish-meal, seaweed meal, dogfish oil, dogfish liver oil, krill meal, krill oil, krill hydrolysate, Desmodesmus, horsebean, Cnicus benedictus, blessed thistle, field bean, white lupine seed, lupine seed, white lupine, rapeseed press cake, Candida utilis, Candida lypolytica, Pseudomonas protein, Spirulina maxima, yellow mealworm, amphipod meal, Themisto libellula, Euphausia superba, Thysanoessa inermis, Arctic krill, Antarctic krill, Calanus finmarchicus, ester-rich oil, Calanus oil, zooplankton oil, faba bean, Vicia faba, aerobic heterotrophic bacteria, Arthrospira platensis, Tisochrysis lutea, Tetraselmis suecica, red swamp crayfish, crayfish meal, Procambarus clarkii, cochayuyo meal, Brassica napus, Durvillaea antarctica, larval meal, larva meal, larvae meal, house fly, silkworm, silk worm, meal worm, plant derived, plant-derived, cottonseed meal, poultry protein concentrate, Aurantiochytrium acetophilum, GM maize, Bt maize, corn gluten meal, plant meal, wheat straw, yeast oil, wood-based, wood based, yeast from wood, wood fiber, wood feed, Nannochloropsis oceanica, Tetraselmis, red crab, Pleuroncodes planipes, fly prepupae, Schizochytrium oil, microalgae meal, Nannochloropsis granulata, algal meal, microalgae-based, microalgae based, vegetable ingredient, vetch meal, narbonne vetch, Vicia narbonensis, Scenedesmus almeriensis, single cell protein, Methylobacterium extorquens, potato protein, potato meal, potato-based, potato based, potato concentrate, anchov, Engraulis encrasicolus, Chlorella vulgaris, Spirulina, soy protein, Pavlova oil, corn protein concentrate, Coelopa frigida, bristly‐legged seaweed fly larva, seaweed fly, Candida sake, whey protein, plant-source protein, food waste, Paecilomyces variotii, PEKILO, fungal protein, Soy protein, insect meal, single-cell protein","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_097,Production,Feed and nutrition,Feed additives and supplements,Production > Feed and nutrition > Feed additives and supplements,"Evaluation of functional additives, supplements or dietary enhancers.",Use when an additive is deliberately tested in feed.,Do not use routine nutrients that are simply part of the diet formulation.,"Feed additives and supplements, Probiotics, enzymes, pigments, immunostimulants",,,"Macrogard, astaxanthin, carotenoid, codliver oil, cod liver oil, supplement, canthaxanthin, conjugated linoleic acid, aloe vera extract, β-glucans, prebiotic, L-carnitine, beta-glucan, probiotic, taurine, ancho chili, Capsicum annuum, ascidian tunic, dietary pigment, dihydroquercetin, arabinogalactan, zeaxanthin, tocopherol, vitamin E, ribwort plantain, Plantago lanceolata, iron supplementation, ginger, Zingiber officinale, turmeric, Curcuma longa, lemon verbena, verbena, Cymbopogon citratus, red pepper, thyme, persian shallot, Allium hirtifolium, lemon essential oil, orange peel, orange essential oil, citrus sinensis, essential oil, additive, rosemary oil, Rosmarinus officinalis, ethoxyquin, Chlorella vulgaris, Bacillus pumilus, Ginkgo biloba, letrozole, Tribulus terrestris, Asparagus racemosus, methyltestosterone, choline, Yarrowia lipolytica, tryptophan, Bacillus subtilis, toltrazuril, chachafruto, Erythrina edulis, pomelo, peel extract, Citrus maxima, cinnamon oil, puerarin, kudzu, Puerarin lobata, Phaffia rhodozyma, red yeast, Chlorella, Schizochytrium, kynurenic acid, propolis, glutamate, butylated hydroxytoluene, aloe vera, Aloe barbadensis, nettle, Urtica dioica, phytogen, Biotronic, Aquagrow, feed supplement, olive leaf, olive leaf extract, olive tree leaf, Olea europaea, oleuropein, diflubenzuron, laminarin, Laminaria digitata, brown agla, β-glucan, Debaryomyces hansenii, Palmaria palmata, red seaweed, brine shrimp, Artemia franciscana, espelette pepper, capsaicin, Trametes versicolor, Ganoderma lucidum, herbal extract, Eucalyptus globulus, Mentha piperita, Salvia officinalis, Thymus vulgaris, synthetic Ast, Punica granatum, Quercus branti, Glycyrrhiza glabra, Heracleum lasiopetalum, Satureja bachtiarica, Thymus daenensis, Myrtus communis, Echinophora platyloba, Kelussia odoratissima, Stachys lavandulifolia, cholesterol fortif, inulin, fructooligosaccharide, Carophyll Pink, pigment, Panaferd, Coridothymus capitatus, Laurus nobilis, lavender, Lavandula officinalis, cumin, Cuminum cyminum, cinnamon, Cinnamon zeylanicum, quercetin, Protexin, Pistacia atlantica, dietary supplement, sweet basil, Ocimum basilicum, Thymus khuzestanicum, Tanacetum parthenium, Mentha longifolia, pomace, Tigriopus californicus, leonardite, oregano, Origanum vulgare, arginine, tetradecylthioacetic acid, barberry root, Berberis vulgaris, coriander, amaranth, Salix babylonica, willow, oak, Quercus brantii, Mooseer, caraway, Carum carvi, green cumin, dill, Anethum graveolens, anise, Pimpinella anisum, rare earth elements, Xanthophyllomyces dendrorhous, Saint John's wort, lemon balm, rosemary, ribavirin, Nannochloropsis gaditana, phytogenic feed additive, spirulina, Arthrospira platensis, ascorbic acid, Ulva intestinalis, Gracilariopsis persica, silymarin, ginger root, Camellia sinensis, green tea, Haematococcus pluvialis, Allium stipitatum, Porphyra dioica, Saccharomyces cerevisiae, myrtle, phytoadditive, phyto-additive, red bell pepper, Spirulina platensis, Asparagopsis taxiformis, Asparagopsis sanfordiana, xanthophyll, garlic, Allium sativum, Pseudomonas, finnstim, betaine, Bacillus velezensis, Rhodotorula mucilaginosa, sesame oil, thyme essential oil, Immunogen, sea squirt, Halocynthia roretzi, seasquirt, guar gum, parsley extract, iodized, iodised, iodine, medicinal plant, Nigella sativa, Probiotics, enzymes, pigments, immunostimulants","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_098,Production,Feed and nutrition,Nutrient requirements and feed formulation,Production > Feed and nutrition > Nutrient requirements and feed formulation,Research defining nutritional requirements or designing feeds.,"Use for protein, lipid, amino-acid, vitamin or mineral requirements and formulation.",Do not use only because diet composition is reported.,"Nutrient requirements and feed formulation, Nutrient requirements, balanced diets, feed formulation",,,"feed, pellet, meal, aquafeed, precision feed, feed loading, high-protein diet, high protein diet, commercial feed, commercial diet, fodder, mixed fodder, salmon oil, nutrient requirement, optimal feed, protein concentrate, feedstock, aqua feed, commercially available diet, commercial salmon feed, commercial trout feed, salmon feed, salmon diet, trout feed, trout diet, fish feed, fish diets, commercial based diet, commercial-based diet, commercial based feed, commercial-based feed, additive, food supplement, feed supplement, feed conversion efficiency, food conversion efficiency, feed efficien, Nutrient requirements, balanced diets, feed formulation","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_099,Production,Feed and nutrition,Feeding strategies and appetite,Production > Feed and nutrition > Feeding strategies and appetite,"Research on feed delivery, ration, feeding frequency, intake or appetite.",Use when feeding strategy or behaviour is a substantive question.,Do not use routine feeding schedules.,"Feeding strategies and appetite, Ration size, feeding frequency, appetite, palatability",,,"feed cycling, starving, starvation, starved, feed withdraw, hyperglucidic, self-feeding actuator, self-feeding, feeding actuator, feeding on demand, on demand feed, on-demand feed, fed on demand, fed on-demand, Ration size, feeding frequency, appetite, palatability","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_100,Production,Feed and nutrition,Digestibility and nutrient utilisation,Production > Feed and nutrition > Digestibility and nutrient utilisation,"Research on digestion, absorption, retention or use of dietary nutrients.",Use when digestibility or utilisation is a substantive objective.,Do not use routine proximate analysis without nutrient-use questions.,"Digestibility and nutrient utilisation, Digestibility coefficients, nutrient retention, absorption",,,"Digestibility coefficients, nutrient retention, absorption","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_101,Production,Feed and nutrition,Feed efficiency and conversion,Production > Feed and nutrition > Feed efficiency and conversion,"Research on feed conversion, efficiency or residual feed intake.",Use when feed efficiency is a substantive outcome or selection target.,Do not use any growth trial that merely reports feed conversion incidentally.,"Feed efficiency and conversion, FCR, feed efficiency, residual feed intake",,,"FCR, feed efficiency, residual feed intake","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_102,Production,Husbandry and farm management,Stocking density and crowding,Production > Husbandry and farm management > Stocking density and crowding,Effects or management of stocking density and crowding.,Use when density or crowding is manipulated or evaluated.,Do not use routine density reporting.,"Stocking density and crowding, Biomass loading, crowding, stocking density",,,"Biomass loading, crowding, stocking density","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_103,Production,Husbandry and farm management,"Handling, grading and transport","Production > Husbandry and farm management > Handling, grading and transport","Effects or management of handling, sorting, grading and live transport before harvest.",Use when these operations are substantive.,Do not use post-harvest product transport.,"Handling, grading and transport, Handling stress, grading, well-boat transport",,,"Handling stress, grading, well-boat transport","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_104,Production,Husbandry and farm management,Environmental control,Production > Husbandry and farm management > Environmental control,"Management of temperature, salinity, oxygen, light, flow or related rearing conditions.",Use when environmental conditions are deliberately managed or compared for production.,Do not use environmental impacts outside the farm.,"Environmental control, Photoperiod, oxygen control, temperature regimes",,,"dissolved oxygen, hypoxia, oxygen depletion, hydrogen sulfide, hydrogen sulphide, H2S, salinit, Photoperiod, oxygen control, temperature regimes","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_105,Production,Husbandry and farm management,Biosecurity and farm hygiene,Production > Husbandry and farm management > Biosecurity and farm hygiene,Farm-level practices intended to prevent pathogen introduction or spread.,Use when biosecurity practice is a substantive focus.,Do not use disease treatment or diagnosis.,"Biosecurity and farm hygiene, Quarantine, disinfection, movement controls",,,"chloramine, formaldehyde, sodium hypochlorite, Virkon, disinfect, saniti, antifouling, antifoulant, prophyla, sanitary treatment, sanitisation, sanitization, egg ozonation, peracetic acid, Perosan, Ovadine, egg wash, egg-wash, constructed wetland, tributyltin, TBT, Quarantine, disinfection, movement controls","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_106,Production,Production systems and technology,Marine cage systems,Production > Production systems and technology > Marine cage systems,"Design, operation or production performance of marine cages or net pens.",Use when the cage system itself is studied.,Do not use merely because the study occurred in cages.,"Marine cage systems, Net pens, cage design, cage operation",,,"sea-based, sea based, sea-pen, sea pen, sea-cage, sea cage, marine cage, marine pen, marine farm, sea farm, marine-based, marine based, marine aquaculture, Net pens, cage design, cage operation","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_107,Production,Production systems and technology,Land-based and flow-through systems,Production > Production systems and technology > Land-based and flow-through systems,"Design, operation or performance of land-based non-recirculating systems.","Use when tanks, raceways or flow-through systems are substantive.",Do not use merely because fish were held in tanks.,"Land-based and flow-through systems, Raceways, tanks, flow-through farms",,,"recirculating aquaculture system, recirculation aquaculture system, flow-through system, through-flow system, flow through system, through flow system, in-door production, indoor production, in-door system, indoor system, land-based, water recirculating systems, land based, re-circulating aquaponic, recirculating system, indoor aquacultur, semi-closed containment system, recirculated aquaculture system, Raceways, tanks, flow-through farms","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_108,Production,Production systems and technology,Recirculating aquaculture systems,Production > Production systems and technology > Recirculating aquaculture systems,"Design, operation or performance of RAS.","Use when recirculation, filtration or RAS performance is substantive.",Do not use merely because the study was conducted in RAS.,"Recirculating aquaculture systems, RAS, biofilters, recirculation performance",,,"closed aquaculture, closed containment, closed system, closed pen, closed-containment, closed flexible bag, closed bag, recirculating aquaculture system, recirculation aquaculture system, flow-through system, through-flow system, flow through system, through flow system, in-door production, indoor production, in-door system, indoor system, land-based, water recirculating systems, land based, re-circulating aquaponic, recirculating system, indoor aquacultur, semi-closed containment system, recirculated aquaculture system, RAS, biofilters, recirculation performance","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_109,Production,Production systems and technology,Offshore and exposed-site systems,Production > Production systems and technology > Offshore and exposed-site systems,Production systems designed for offshore or highly exposed conditions.,"Use when offshore design, operation or performance is central.",Do not use ordinary coastal cage studies.,"Offshore and exposed-site systems, Offshore cages, exposed sites, ocean farming",,,"Offshore cages, exposed sites, ocean farming","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_110,Production,Production systems and technology,Integrated multi-trophic aquaculture,Production > Production systems and technology > Integrated multi-trophic aquaculture,Integrated production of salmon with other trophic groups.,Use when IMTA or integrated co-culture is substantive.,Do not use polyculture only as a passing reference.,"Integrated multi-trophic aquaculture, IMTA, co-culture, integrated systems",,,"polyculture, combined production, with Mytilus edulis, with mussel, mussels and salmon, salmon and mussel, integrated multi-trophic aquaculture, integrated aquaculture, polytrophic aquaculture, multi-trophic aquaculture, multi trophic aquaculture, multitrophic aquaculture, aquaponic, integrated seaweed and fish, integrated fish and, integrated salmon and, bicultural, biculturing, integrated multitrophic aquaculture, integrated-multi-trophic, bicultur, duocultur, tricultur, bi-cultur, duo-cultur, sea urchin, Psammechinus miliaris, Gracilaria chilensis, Mytilus edulis, Gracilaria, lettuce, Lactuca sativa, Saccharina latissima, integrated cultivation, integrated production, multitrophic production, multi-trophic production, multi trophic production, salmon-mussel aquaculture, salmon-mussel production, integrated mariculture, IMTA, co-culture, integrated systems","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_111,Production,Production systems and technology,Automation and precision aquaculture,Production > Production systems and technology > Automation and precision aquaculture,"Use of sensors, automation, machine vision or decision tools in farm operations.",Use when operational automation or precision farming is substantive.,"If the paper is principally about developing the method itself, consider Methods instead.","Automation and precision aquaculture, Automated feeding, machine vision, precision fish farming",,,"Automated feeding, machine vision, precision fish farming","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_112,Production,Fish performance and biology,Growth and development,Production > Fish performance and biology > Growth and development,"Growth, development or body condition of cultured fish.",Use when growth or development is a substantive research outcome.,Do not use when reported only as a routine endpoint.,"Growth and development, Growth rate, body weight, development, condition factor",,,"survival, mortality, burden, death rate, morbidity, health, susceptibility, behaviour, behavior, physiology, feeding, illness, Growth rate, body weight, development, condition factor","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_113,Production,Fish performance and biology,"Physiology, metabolism and biological responses","Production > Fish performance and biology > Physiology, metabolism and biological responses","Physiological, metabolic, biochemical, molecular or pharmacokinetic responses of cultured fish.","Use when physiology, metabolism, biochemical responses, gut or tissue responses, absorption, deposition, bioavailability or elimination are substantive research questions.",Do not use merely because physiological or molecular measurements are reported as incidental endpoints.,"Physiology, metabolism and biological responses, Metabolism, oxidative stress, inflammatory responses, gut microbiota, pharmacokinetics",,,"intestinal microbiota, gut health, gut microbiota, intestinal inflammation, intussusception, intestinal neoplasia, intestinal disorder, immune response, immunity, inflammation, peracetic acid, therapeutant, immunostimulant, prebiotic, Pediococcus acidilactici, β-glucans, lentinan, Lentinula edodes, mannan oligosaccharide, adjuvants, Bacillus subtilis, probiotic, immunostimula, tetradecylthioacetic acid, Carnobacterium divergens, lactic acid bacteria, Metabolism, oxidative stress, inflammatory responses, pharmacokinetics, tissue deposition","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_114,Production,Fish performance and biology,Anatomy and tissues,Production > Fish performance and biology > Anatomy and tissues,"Anatomical, histological or tissue-level features relevant to cultured fish.",Use when anatomy or tissue condition is a substantive objective.,Do not use because a tissue was sampled for another purpose.,"Anatomy and tissues, Gill, gut, skin, liver, muscle histology",,,"liver, spleen, heart, intestine, oesophagus, esophagus, kidney, gut, brain, blood, viscera, serum, mucus, plasma, skin, gill, digestive tract, muscle, muscula, tissue, eye, fins, tail, belly, scale, gastro, swim-bladder, swim bladder, swimbladder, operculum, gallbladder, endothelium, epithelium, coronary, intestin, stomach, histology, cells, microscop, cell structure, cellular, Gill, muscle histology","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_115,Production,Fish performance and biology,Behaviour,Production > Fish performance and biology > Behaviour,Behaviour of cultured fish relevant to production.,"Use when swimming, feeding, aggression or schooling is substantively investigated.",Do not use merely because behaviour was observed incidentally.,"Behaviour, Swimming, aggression, schooling, feeding behaviour",,,"behavior, behaviour, swimming, vertical migration, aggressive, aggression, vertical distribution, spatial distribution, Swimming, schooling, feeding behaviour","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_116,Production,Fish health,Sea lice epidemiology,Production > Fish health > Sea lice epidemiology,"Occurrence, prevalence, incidence, distribution, transmission patterns or epidemiology of sea lice.","Use when sea-lice abundance, infestation patterns, surveillance, risk factors or epidemiological processes are substantive.",Do not use for control or treatment studies unless epidemiology is also a substantive research question.,"sea lice, sea louse, salmon lice, salmon louse, Lepeophtheirus salmonis, Caligus","epidemiology, occurrence, prevalence, incidence, abundance, infestation, transmission, outbreak, surveillance, risk factors",,"Lepeophtheirus salmonis, Caligus rogercresseyi, Caligus elongatus, Caligus flexispina, caligid, chalimus, Lepeophtiriosis, caligidosis, sea louse, sea lice",Require a sea-lice concept and an epidemiological or occurrence-focused research question.
V3_117,Production,Fish health,Sea lice control and treatment,Production > Fish health > Sea lice control and treatment,"Prevention, control or treatment of sea lice, including resistance of lice to treatments.","Use for chemical, mechanical, thermal, freshwater, cleaner-fish or integrated control studies, and for treatment-resistance research.",Do not use for host resistance of salmon to sea lice; use Fish response to sea lice.,"sea lice, sea louse, salmon lice, salmon louse, Lepeophtheirus salmonis, Caligus","control, prevention, treatment, delousing, treatment resistance","cleaner fish, lumpfish, wrasse, ballan wrasse, corkwing, goldsinny, rock cook, biological control","corkwing wrasse, cleaner fish, hydrolicing, fallow, DDVP, thermolicing, Symphodus melops, emamectin benzoate, medicinal bath, delousing, cleaner-fish, lumpfish, lump fish, Cyclopterus lumpus, dichlorvos, pyrethroid, thermal delous, mechanical delous, immunostimulant, ivermectin, dihydroavermectin, azamethiphos, Salmosan, goldsinny wrasse, Ctenolabrus rupestris, deltamethrin, hydrogen peroxide, ballan wrasse, Labrus bergylta, cypermethrin, teflubenzuron, chitin synthesis inhibitor, trichlorfon, Nuvan, Neguvon, diachlorvos, dichlorovinyl dimethyl phosphate, shielding skirt, neem extract, avermectin, lumpsucker, lump sucker, hyposaline water, parasiticide, diflubenzuron, cuckoo wrasse, cuckoo, Labrus mixtus, rock cook wrasse, rock cook, Centrolabrus exoletus, ballan, corkwing, wrasse, cleaner wrasse, cunner, Tautogolabrus adspersus, masking compound, lufenuron, benzoylurea, snorkel, SLICE, organophosphate, flubenzuron, cleaner-wrasse, AlphaMax, Interox®Paramove, Interox, Paramove, tarpaulin, cunner wrasse, lice monitoring, lice control, louse control, control of sea lice, control of lice, biological delous, Slice®, Lepeophtheirus salmonis, Caligus rogercresseyi, Caligus elongatus, Caligus flexispina, caligid, chalimus, Lepeophtiriosis, caligidosis, sea louse, sea lice, Treatment efficacy, integrated control, treatment resistance",Normally require a sea-lice concept plus a control or treatment focus. Cleaner-fish terms in a salmon-farming context may independently indicate this pathway.
V3_118,Production,Fish health,Fish response to sea lice,Production > Fish health > Fish response to sea lice,"Physiological, immune, genetic or pathological responses of salmon to sea-lice infestation, including host susceptibility and resistance.","Use when the fish response, susceptibility or resistance to sea lice is substantive.",Do not use for resistance of lice to treatments; use Sea lice control and treatment.,"sea lice, sea louse, salmon lice, salmon louse, Lepeophtheirus salmonis, Caligus","host response, immune response, pathology, susceptibility, tolerance, genetic resistance, physiological response",,"Lepeophtheirus salmonis, Caligus rogercresseyi, Caligus elongatus, Caligus flexispina, caligid, chalimus, Lepeophtiriosis, caligidosis, sea louse, sea lice, Immune response, pathology, genetic resistance, susceptibility, host response",Require both a sea-lice concept and a substantive response of the fish host.
V3_119,Production,Fish health,Sea lice impacts,Production > Fish health > Sea lice impacts,"Production, welfare, health or economic consequences of sea-lice infestation.","Use when the effects or consequences of sea lice on fish, farms or the industry are substantive.","Do not use for treatment resistance, control efficacy or simple infestation occurrence.","sea lice, sea louse, salmon lice, salmon louse, Lepeophtheirus salmonis, Caligus","impact, consequence, production loss, growth loss, mortality, welfare effect, economic loss",,"Lepeophtheirus salmonis, Caligus rogercresseyi, Caligus elongatus, Caligus flexispina, caligid, chalimus, Lepeophtiriosis, caligidosis, sea louse, sea lice, Growth loss, welfare damage, mortality, production losses, economic impacts",Require both a sea-lice concept and a substantive consequence or impact.
